"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"TOTA","Tottenham Acquisition I Limited","08/27/2018","$40,369,043","Y","1.22","1.00","1.02","1.89","3,710,390","4,170","0.11%","Analyze"
"GSAH","GS Acquisition Holdings Corp II Class A","07/30/2018","$972,187,500","N","1.04","1.02","1.02","1.07","75,000,000","113,283","0.15%","Analyze"
"HCCH","Hl Acquisitions Corp.","07/18/2018","$126,248,430","Y","1.04","1.29","1.71","2.45","6,558,360","131,138","2.00%","Analyze"
"LFAC","Lf Capital Acquistion Corp.","06/29/2018","$169,539,845","Y","1.08","1.00","1.00","1.07","12,219,400","24,149","0.20%","Analyze"
"TDAC","Trident Acquisitions Corp.","06/13/2018","$137,508,873","N","1.17","1.05","1.07","2.53","11,967,700","242,096","2.02%","Analyze"
"ATNF","180 Life Sciences Corp.","06/07/2018","$15,632,986","N","0.00","1.14","0.31","0.00","5,372,161","404,520","7.53%","Analyze"
"OPES","Opes Acquisition Corp.","03/26/2018","$190,818,394","Y","1.08","1.07","1.04","2.11","7,688,090","128,230","1.67%","Analyze"
"LACQ","Leisure Acquisition Corp.","02/26/2018","$65,816,563","N","2.52","1.01","0.99","12.57","6,262,280","3,341","0.05%","Analyze"
"BRPA","Big Rock Partners Acquisition Corp.","12/04/2017","$29,113,639","N","1.88","1.12","1.02","9.09","2,688,242","444","0.02%","Analyze"
"HYAC","Haymaker Acquisition Corp. II - Class A Common Stock","11/17/2017","$503,000,000","Y","1.05","1.00","1.01","1.04","40,000,000","285,714","0.71%","Analyze"
"HCAC","Hennessy Capital Acquisition Corp. IV - Class A","08/01/2017","$468,577,804","Y","61.39","1.15","1.19","74.87","29,803,400","1,258,209","4.22%","Analyze"
"LCA","Landcadia Holdings II, Inc. - Class A","08/18/2016","$790,625,000","Y","1.04","1.29","1.62","2.04","31,625,000","2,033,696","6.43%","Analyze"
"CCNC","Code Chain New Continent Limited","12/29/2015","$47,265,120","N","1.18","0.97","1.05","1.92","29,176,000","177,023","0.61%","Analyze"
